Volatility 3 Framework 2.26.2

Offset	Name
0xc90c0618d9c0	\Windows\System32\msctf.dll
0xc90c0618db50	\Windows\System32\coml2.dll
0xc90c0618dce0	\Windows\System32\GdiPlus.dll
0xc90c0618de70	\Windows\System32\shlwapi.dll
0xc90c061b40c0	\Windows\System32\bcryptprimitives.dll
0xc90c061b4250	\Windows\System32\win32u.dll
0xc90c061b43e0	\Windows\System32\msvcp_win.dll
0xc90c061b4570	\Windows\System32\crypt32.dll
0xc90c061b4700	\Windows\System32\cfgmgr32.dll
0xc90c061b4890	\Windows\System32\KernelBase.dll
0xc90c061b4a20	\Windows\System32\combase.dll
0xc90c061b4bb0	\Windows\System32\bcrypt.dll
0xc90c061b4d40	\Windows\SysWOW64\bcryptprimitives.dll
0xc90c061b4ed0	\Windows\System32\wintrust.dll
0xc90c061b51f0	\Windows\System32\psapi.dll
0xc90c061b5380	\Windows\SysWOW64\shlwapi.dll
0xc90c061b5510	\Windows\SysWOW64\SHCore.dll
0xc90c061b56a0	\Windows\SysWOW64\coml2.dll
0xc90c061b5830	\Windows\SysWOW64\kernel32.dll
0xc90c061b59c0	\Windows\System32\comctl32.dll
0xc90c061b5b50	\Windows\System32\ucrtbase.dll
0xc90c061b5ce0	\Windows\System32\gdi32full.dll
0xc90c061b5e70	\Windows\System32\clbcatq.dll
0xc90c061ed090	\Windows\System32\drivers\rdpbus.sys
0xc90c061efe90	\$MftMirr
0xc90c061f0730	\$LogFile
0xc90c061f0a10	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog
0xc90c061f1420	\$Mft
0xc90c061f1cc0	\$Secure:$SDS:$DATA
0xc90c061f2280	TxfLog
0xc90c061f2560	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
0xc90c061f26d0	\:$I30:$INDEX_ALLOCATION
0xc90c061f2840	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION
0xc90c061f29b0	\$Mft::$BITMAP
0xc90c061f2b20	\$Extend:$I30:$INDEX_ALLOCATION
0xc90c061f33c0	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
0xc90c061f36a0	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
0xc90c061f3810	\$Secure:$SII:$INDEX_ALLOCATION
0xc90c061f3af0	\$Extend\$RmMetadata\$Repair
0xc90c061f3c60	\$BitMap
0xc90c061f3dd0	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
0xc90c061f80c0	\Windows\SysWOW64\bcrypt.dll
0xc90c061f8250	\Windows\SysWOW64\difxapi.dll
0xc90c061f83e0	\Windows\SysWOW64\advapi32.dll
0xc90c061f8570	\Windows\SysWOW64\Wldap32.dll
0xc90c061f8700	\Windows\SysWOW64\imm32.dll
0xc90c061f8890	\Windows\SysWOW64\nsi.dll
0xc90c061f8a20	\Windows\SysWOW64\ws2_32.dll
0xc90c061f8bb0	\Windows\SysWOW64\combase.dll
0xc90c061f8d40	\Windows\SysWOW64\imagehlp.dll
0xc90c061f8ed0	\Windows\SysWOW64\sechost.dll
0xc90c061f91f0	\Windows\SysWOW64\user32.dll
0xc90c061f9380	\Windows\SysWOW64\gdi32full.dll
0xc90c061f9510	\Windows\SysWOW64\rpcrt4.dll
0xc90c061f96a0	\Windows\SysWOW64\shell32.dll
0xc90c061f9830	\Windows\SysWOW64\wintrust.dll
0xc90c061f99c0	\Windows\SysWOW64\ole32.dll
0xc90c061f9b50	\Windows\SysWOW64\comdlg32.dll
0xc90c061f9ce0	\Windows\SysWOW64\KernelBase.dll
0xc90c061f9e70	\Windows\SysWOW64\psapi.dll
0xc90c065e43e0	\Windows
0xc90c065e4570	\Windows\System32\msvcrt.dll
0xc90c065e4890	\ProtectedPrefix\NetWorkService
0xc90c065e4a20	\Windows\System32\rpcrt4.dll
0xc90c065e4d40	\Windows\System32\comdlg32.dll
0xc90c065e4ed0	\Windows\System32\user32.dll
0xc90c065e5380	\Windows\System32\setupapi.dll
0xc90c065e5510	\Windows\System32\wow64.dll
0xc90c065e56a0	\Windows\System32\ole32.dll
0xc90c065e5830	\ProtectedPrefix\LocalService
0xc90c065e59c0	\Windows\System32\sechost.dll
0xc90c065fb390	\Windows\System32\drivers\ndiscap.sys
0xc90c065fd330	\Windows\System32\drivers\csc.sys
0xc90c065fdd40	\Windows\System32\drivers\winhvr.sys
0xc90c065fe470	\Windows\System32\drivers\nsiproxy.sys
0xc90c065fe8c0	\Windows\System32\drivers\mssmbios.sys
0xc90c065fea30	\Windows\System32\drivers\gpuenergydrv.sys
0xc90c065fed10	\Windows\System32\drivers\npsvctrig.sys
0xc90c06648250	\Windows\SysWOW64\msvcrt.dll
0xc90c066483e0	\Windows\SysWOW64\cfgmgr32.dll
0xc90c06648570	\Windows\SysWOW64\comctl32.dll
0xc90c06648700	\Windows\SysWOW64\gdi32.dll
0xc90c06648890	\ProtectedPrefix\Administrators
0xc90c06648a20	\Windows\SysWOW64\ucrtbase.dll
0xc90c06648bb0	\Windows\SysWOW64\crypt32.dll
0xc90c06648d40	\ProtectedPrefix
0xc90c06648ed0	\Windows\SysWOW64\msvcp_win.dll
0xc90c066491f0	\Windows\SysWOW64\win32u.dll
0xc90c06649510	\Windows\SysWOW64\normaliz.dll
0xc90c066496a0	\Windows\SysWOW64\setupapi.dll
0xc90c06649830	\Windows\SysWOW64\msctf.dll
0xc90c066499c0	\ProtectedPrefix\Administrators
0xc90c06649b50	\ProtectedPrefix
0xc90c06649ce0	\ProtectedPrefix\LocalService
0xc90c06649e70	\Windows\SysWOW64\clbcatq.dll
0xc90c066560c0	\Sessions
0xc90c06656250	\Windows\System32\config\SOFTWARE.LOG1
0xc90c06656570	\Windows\System32\config\SOFTWARE.LOG2
0xc90c06656700	\Windows\System32\config\SYSTEM
0xc90c06656890	\Windows\System32\config\SYSTEM.LOG2
0xc90c06656bb0	\Windows\System32\config\SYSTEM.LOG1
0xc90c06656ed0	\Windows\System32\config\SOFTWARE
0xc90c06657380	\$Directory
0xc90c06657830	\ProtectedPrefix\NetWorkService
0xc90c06657b50	\Windows\bootstat.dat
0xc90c06657ce0	\EFI\Microsoft\Boot\BCD
0xc90c06657e70	\EFI\Microsoft\Boot\BCD.LOG
0xc90c0668a0c0	\$Extend\$RmMetadata\$TxfLog\$Tops
0xc90c0668a230	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA
0xc90c0668a3a0	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog
0xc90c0668a510	KtmLog
0xc90c0668a680	\Windows\System32\LogFiles\WMI\RadioMgr.etl
0xc90c0668a7f0	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog
0xc90c0668a960	\Windows\System32\LogFiles\WMI\LwtNetLog.etl
0xc90c0668ac40	\Windows\System32\WDI\LogFiles\WdiContextLog.etl.003
0xc90c0668adb0	\$Secure:$SDH:$INDEX_ALLOCATION
0xc90c0668b090	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl
0xc90c0668b200	\$Directory
0xc90c0668b4e0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-Application.etl
0xc90c0668b650	\Windows\System32\LogFiles\WMI\NetCore.etl
0xc90c0668b7c0	\$Directory
0xc90c0668baa0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl
0xc90c0668bd80	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderApiLogger.etl
0xc90c0668bef0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderAuditLogger.etl
0xc90c0668c060	\:$I30:$INDEX_ALLOCATION
0xc90c0668c1d0	\Windows\System32\LogFiles\WMI\Wifi.etl
0xc90c0668c340	\Windows\System32\LogFiles\WMI\NtfsLog.etl
0xc90c0668c900	\$Directory
0xc90c0668ca70	\$Directory
0xc90c0668cbe0	\Windows\System32\LogFiles\WMI\Microsoft-Windows-Rdp-Graphics-RdpIdd-Trace.etl
0xc90c0668cd50	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl
0xc90c0668d5f0	\$Directory
0xc90c0668d760	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000002.regtrans-ms
0xc90c0668dbb0	\SystemRoot\System32\Config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM
0xc90c0668e8a0	\Windows\System32\drivers\usbhub.sys
0xc90c0668ecf0	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM.blf
0xc90c0668f420	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000001.regtrans-ms
0xc90c0668fe30	\Windows\System32\drivers\ksthunk.sys
0xc90c06690280	\Windows\System32\drivers\en-US\USBXHCI.SYS.mui
0xc90c066909b0	\Windows\System32\drivers\hidclass.sys
0xc90c066916a0	\$Directory
0xc90c06691810	\Windows\System32\drivers\usbd.sys
0xc90c06691af0	\Windows\System32\drivers\HdAudio.sys
0xc90c067c1570	:$VMCB$
0xc90c067c1bb0	\pagefile.sys
0xc90c067c1ed0	\Windows\System32\win32k.sys
0xc90c067c29c0	\Windows\System32
0xc90c069a20c0	\Windows\System32\drivers\usbccgp.sys
0xc90c069a2c40	\Windows\System32\drivers\vmusbmouse.sys
0xc90c069a3930	\Windows\System32\drivers\mouhid.sys
0xc90c069a4060	\Windows\System32\drivers\udfs.sys
0xc90c069a41d0	\Windows\System32\drivers\hidparse.sys
0xc90c069a4a70	\$ConvertToNonresident
0xc90c069fa0d0	\Windows\System32\csrsrv.dll
0xc90c069fa260	\Windows\System32\win32kfull.sys
0xc90c069fa3f0	\Windows\System32\en-US\csrss.exe.mui
0xc90c069fa580	\Windows\System32\sxssrv.dll
0xc90c069fa710	\Windows\System32\win32kbase.sys
0xc90c069fad50	\Windows\System32\basesrv.dll
0xc90c069faee0	\DumpStack.log.tmp
0xc90c069fb200	\Sessions\0\AppContainerNamedObjects
0xc90c069fb390	\Windows\System32\locale.nls
0xc90c069fb520	\Windows\System32\config\DEFAULT.LOG2
0xc90c069fb6b0	\Windows\System32
0xc90c069fb840	\Windows\System32\en-US\winsrv.dll.mui
0xc90c069fb9d0	\Windows\System32\winsrvext.dll
0xc90c069fbb60	\Windows\System32\config\DEFAULT.LOG1
0xc90c069fbcf0	\Windows\System32\en-US\win32kbase.sys.mui
0xc90c069fc1a0	\swapfile.sys
0xc90c069fc4c0	\Windows\System32\drivers\dxgmms2.sys
0xc90c069fc650	\Windows\System32\config\DEFAULT
0xc90c069fc970	\CMApi
0xc90c069fcb00	\Windows\System32\winsrv.dll
0xc90c069fcc90	\$Directory
0xc90c069fce20	\Windows\System32\csrss.exe
0xc90c069fd2d0	\Users\Elon\AppData\Local\Microsoft\Edge\User Data\Default\Service Worker\CacheStorage\3cedfb74d44f2e84198d23075aef16c34a668ceb\9aaba763-fc90-449c-9874-08ebd28f3871\6e6bcdf806133500_1
0xc90c069fd5f0	\Windows\System32
0xc90c069fd780	\Windows\System32\csrss.exe
0xc90c069fd910	\Windows\System32\profapi.dll
0xc90c069fdaa0	\Sessions\1\AppContainerNamedObjects
0xc90c069fdc30	\Windows\System32\wininit.exe
0xc90c069fddc0	\Windows\System32\Speech\Common\sapi.dll
0xc90c071dc0d0	\Windows\Fonts\seguisb.ttf
0xc90c071dc260	\SwDevice
0xc90c071dc580	\Windows\System32\userenv.dll
0xc90c071dc710	\CMApi
0xc90c071dc8a0	\Windows\SysWOW64\cryptsp.dll
0xc90c071dcee0	\Windows\System32\cdd.dll
0xc90c071dd200	\Windows\System32\en-US\user32.dll.mui
0xc90c071dd6b0	\Windows\System32\KBDUS.DLL
0xc90c071ddb60	\Windows\System32\en-US\user32.dll.mui
0xc90c071de1a0	\Windows\System32\sspicli.dll
0xc90c071de330	\Windows\System32
0xc90c071de4c0	\CMNotify
0xc90c071de7e0	\Windows\System32\winlogon.exe
0xc90c071de970	\Windows\System32\wininitext.dll
0xc90c071dee20	\Endpoint
0xc90c071df5f0	\Windows\System32\powrprof.dll
0xc90c071dfaa0	\Windows\System32\umpdc.dll
0xc90c071fa3f0	\Users\Elon\AppData\Local\Microsoft\Edge\User Data\Default\Nurturing\campaign_history
0xc90c071fa580	\Users\Elon\AppData\Local\Microsoft\Edge\User Data\Default\HubApps Icons
0xc90c071fa8a0	\Windows\System32\lsass.exe
0xc90c071faee0	\CMApi
0xc90c071fb390	\InitShutdown
0xc90c071fb520	\Windows\System32\dpapi.dll
0xc90c071fb6b0	\Windows\System32
0xc90c071fb840	\InitShutdown
0xc90c071fb9d0	\Windows\System32\sxs.dll
0xc90c071fbb60	\Windows\System32\winsta.dll
0xc90c071fbcf0	\LOCAL\mojo.5488.5704.3498495581848260168
0xc90c071fbe80	\Windows\System32\services.exe
0xc90c071fc4c0	\$Directory
0xc90c071fc7e0	\LOCAL\mojo.5488.5704.3498495581848260168
0xc90c071fcb00	\Windows\System32\EventAggregation.dll
0xc90c071fcc90	\Windows\System32\DriverStore\FileRepository\tdibth.inf_amd64_e1022e6b4f7ab56d\rfcomm.sys
0xc90c071fd140	\InitShutdown
0xc90c071fd2d0	\Windows\System32\samsrv.dll
0xc90c071fd5f0	\Windows\System32\ncrypt.dll
0xc90c071fd780	\Windows\System32\devobj.dll
0xc90c071fd910	\Windows\System32
0xc90c071fdaa0	\Windows\System32\lsasrv.dll
0xc90c071fdc30	\Windows\System32\LogFiles\Scm\SCM.EVM
0xc90c071fddc0	\Windows\System32\msasn1.dll
0xc90c07af70d0	\Windows\System32\logoncli.dll
0xc90c07af7260	\Windows\System32\dnsapi.dll
0xc90c07af73f0	\Windows\System32\gmsaclient.dll
0xc90c07af7580	\Windows\System32\netutils.dll
0xc90c07af7710	\Windows\System32\IPHLPAPI.DLL
0xc90c07af78a0	\Windows\System32\netlogon.dll
0xc90c07af7a30	\Windows\System32\ntasn1.dll
0xc90c07af7bc0	\Windows\System32\cryptdll.dll
0xc90c07af7d50	\Windows\System32\msv1_0.dll
0xc90c07af7ee0	\Windows\System32\msprivs.dll
0xc90c07af8200	\Windows\System32\config\SECURITY
0xc90c07af8390	\Windows\System32\cryptsp.dll
0xc90c07af8520	\Windows\System32\cryptbase.dll
0xc90c07af86b0	\Windows\System32\wldp.dll
0xc90c07af89d0	\Windows\Globalization\Sorting\SortDefault.nls
0xc90c07af8b60	\$Directory
0xc90c07af8cf0	\Windows\System32\en-US\lsasrv.dll.mui
0xc90c07af8e80	\Windows\System32\config\SECURITY.LOG2
0xc90c07af91a0	\Windows\System32\config\SECURITY.LOG1
0xc90c07af9330	\Windows\System32\joinutil.dll
0xc90c07af94c0	\Windows\System32\negoexts.dll
0xc90c07af97e0	\Windows\System32\kerberos.dll
0xc90c07af9970	\Windows\System32\KerbClientShared.dll
0xc90c07af9b00	\Windows\System32\mswsock.dll
0xc90c07af9c90	\Windows\System32\NtlmShared.dll
0xc90c07af9e20	\Windows\debug\PASSWD.LOG
0xc90c07afa140	\Windows\System32\netprovfw.dll
0xc90c07afa2d0	\Windows\SoftwareDistribution\DataStore\DataStore.edb
0xc90c07afa460	\Windows\ShellExperiences\QuickActions.dll
0xc90c07afa5f0	\Windows\System32\TSpkg.dll
0xc90c07afa780	\Windows\System32\cloudAP.dll
0xc90c07afaaa0	\Windows\System32\pku2u.dll
0xc90c07afadc0	\Windows\System32\aadcloudap.dll
0xc90c07bc30e0	\lsass
0xc90c07bc3270	\ntsvcs
0xc90c07bc3400	\Windows\System32\dpapisrv.dll
0xc90c07bc3590	\Windows\System32\kdcpw.dll
0xc90c07bc38b0	\Windows\System32\rsaenh.dll
0xc90c07bc3a40	\Windows\System32\C_28591.NLS
0xc90c07bc3bd0	\ntsvcs
0xc90c07bc3d60	\Windows\System32\scecli.dll
0xc90c07bc4210	\Windows\System32\wdigest.dll
0xc90c07bc43a0	\ntsvcs
0xc90c07bc46c0	\lsass
0xc90c07bc4850	\Windows\System32\efslsaext.dll
0xc90c07bc49e0	\Windows\System32\sspisrv.dll
0xc90c07bc4b70	\LOCAL\mojo.5488.5704.8422542964577197381
0xc90c07bc4d00	\Windows\System32\config\SAM.LOG1
0xc90c07bc4e90	\Windows\System32\msvcp110_win.dll
0xc90c07bc51b0	\Windows\System32\schannel.dll
0xc90c07bc5340	\Windows\ServiceState
0xc90c07bc54d0	\Windows\System32\config\SAM
0xc90c07bc5980	\Windows\System32\wkscli.dll
0xc90c07bc5ca0	\Windows\System32\scesrv.dll
0xc90c07bc5e30	\Windows\System32\MicrosoftAccountCloudAP.dll
0xc90c07bc6150	\Windows\System32\config\SAM.LOG2
0xc90c07bc6470	\$Directory
0xc90c07bc6920	\Windows\System32
0xc90c07bc6ab0	\$Directory
0xc90c07bc6c40	\Windows\System32\en-US\services.exe.mui
0xc90c07bc6dd0	\scerpc
0xc90c07bc7280	\Windows\System32\WUDFPlatform.dll
0xc90c07bc7410	\Windows\System32\ntmarta.dll
0xc90c07bc75a0	\Windows\System32\fwbase.dll
0xc90c07bc7730	\scerpc
0xc90c07bc78c0	\Windows\System32\profext.dll
0xc90c07bc7be0	\scerpc
0xc90c07bc7d70	\Sessions\0\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523
0xc90c07bc8090	\Windows\System32\fontdrvhost.exe
0xc90c07bc8220	\Windows\System32\fontdrvhost.exe
0xc90c07bc83b0	\Windows\System32\svchost.exe
0xc90c07bc8540	\Windows\System32\FirewallAPI.dll
0xc90c07bc89f0	\Windows\System32\authz.dll
0xc90c07bc8ea0	\Sessions\1\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523
0xc90c07bc91c0	\Windows\System32
0xc90c07bc9350	\Windows\System32
0xc90c07bc94e0	\Windows\System32\slc.dll
0xc90c07bc9670	\$Directory
0xc90c07bc9990	\Windows\System32\umpo.dll
0xc90c07bc9b20	\Windows\System32\gpapi.dll
0xc90c07bc9cb0	\Windows\System32\umpoext.dll
0xc90c07bc9e40	\Endpoint
0xc90c07bca160	\Windows\System32\umpnpmgr.dll
0xc90c07bca2f0	\Windows\System32\sppc.dll
0xc90c07bca480	\Windows\Fonts\vgasys.fon
0xc90c07bca7a0	\Windows\System32\tdh.dll
0xc90c07bca930	\Windows\System32\dxgi.dll
0xc90c07bcac50	\Windows\System32\en-US\svchost.exe.mui
0xc90c07bcade0	\CMApi
0xc90c07c30e70	\$ConvertToNonresident
0xc90c07c350e0	\Windows\Fonts\marlett.ttf
0xc90c07c35400	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2
0xc90c07c35590	\Windows\System32\svchost.exe
0xc90c07c358b0	\gecko.5364.720.6120966779626511427
0xc90c07c35bd0	\Windows\SystemResources\Chakra.dll.mun
0xc90c07c36080	\Windows\Fonts\micross.ttf
0xc90c07c36530	\Windows\System32\hid.dll
0xc90c07c366c0	\Windows\System32\en-US\FXSRESM.dll.mui
0xc90c07c36850	\Windows\System32\windows.storage.dll
0xc90c07c369e0	\CMNotify
0xc90c07c36d00	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT
0xc90c07c36e90	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG1
0xc90c07c37340	\Windows\System32\rpcss.dll
0xc90c07c374d0	\Windows\System32\SleepStudy\UserNotPresentSession.etl
0xc90c07c37660	\CMNotify
0xc90c07c37980	\CMNotify
0xc90c07c37e30	\$Directory
0xc90c07c38470	\epmapper
0xc90c07c38600	\Endpoint
0xc90c07c38790	\Winsock2\CatalogChangeListener-27c-0
0xc90c07c38920	\Endpoint
0xc90c07c38ab0	\Windows\System32\psmsrv.dll
0xc90c07c38dd0	\epmapper
0xc90c07c390f0	\Device\HarddiskVolume3\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TM
0xc90c07c39280	\Endpoint
0xc90c07c39410	\epmapper
